asn_name,country,asn_num,count
"CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network",CN,4809,38
"Telefonica del Peru S.A.A.",PE,6147,38
"Techtel LMDS Comunicaciones Interactivas S.A.",AR,11664,37
"Mega Cable, S.A. de C.V.",MX,13999,37
"ORCL-ASHBURN3 - Oracle Corporation",US,14506,37
"CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPANY LIMITED",TH,4750,37
"ADAMOEU-AS Adamo Telecom Iberia S.A.",ES,35699,36
"TACHYON-AS-ID PT Remala Abadi",ID,38511,36
TTM,DE,47447,36
"GOOGLE-FIBER - Google Fiber Inc.",US,16591,35
"Associação Rede Nacional de Ensino e Pesquisa",BR,1916,35
"-Reserved AS-",US,40021,35
"NAV NAV Communications",RO,6718,35
"PLUSNET UK Internet Service Provider",GB,6871,35
"SOFTQLOUD-AS AS20473 Choopa",DE,208006,34
"FONES-WEST-ISP - FONES WEST DIGITAL SYSTEMS, INC",US,22769,34
SOVAM-AS,RU,3216,34
"CELESTE-AS CELESTE - Internet services provider",FR,34177,34
"OCN NTT Communications Corporation",JP,4713,34
"INDOSAT-INP-AP INDOSAT Internet Network Provider",ID,4761,34
WORLDSTREAM,NL,49981,34
ZENCURITY-NET,DK,57860,34
"GMO-Z-COM GMO-Z.COM PTE. LTD.",SG,59349,34
"CAT-CLOUD-AP CAT Telecom Public Company Limited",TH,9335,34
"SCRR-11427 - Time Warner Cable Internet LLC",US,11427,33
"CT-JIANGXI-IDC CHINANET Jiangx province IDC network",CN,134238,33
"EQUINIX BRASIL SP",BR,16397,33
"CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited",CN,24444,33
"COTAS LTDA.",BO,25620,33
"295CA-TOR-ASN - FIBERNETICS CORPORATION",CA,36493,33
"TOT-LLI-AS-AP TOT Public Company Limited",TH,131293,32
"ETB - Colombia",CO,19429,32
ASN-ROUTELABEL,NL,198203,32
"INET-TH-AS Internet Thailand Company Limited",TH,4618,32
"Entel S.A. - EntelNet",BO,6568,32
AS139070,SG,139070,31
"Megacable Comunicaciones de Mexico, S.A. de C.V.",MX,14178,31
"CTC. CORP S.A. (TELEFONICA EMPRESAS)",CL,16629,31
"CHINA169-GZ China Unicom IP network China169 Guangdong province",CN,17816,31
ESTNOC-AS,EE,206804,31
KABELDEUTSCHLAND-AS,DE,31334,31
"T-HT Croatian Telecom Inc.",HR,5391,31
"SCRR-11426 - Time Warner Cable Internet LLC",US,11426,30
"VODAFONE-PT Vodafone Portugal",PT,12353,30
"CHINATELECOM-CHONGQING-IDC Chongqing Telecom",CN,134420,30
MEO-EMPRESAS,PT,15525,30
"ASIANET Cable ISP in India",IN,17465,30
"CNNIC-RJNET-AP FoShan RuiJiang Science and Tech Ltd.",CN,38372,30
"ERX-STAR PCCW IMSBiz",HK,4515,30
"GLOBAL-FRAG-NETWORKS - Global Frag Networks",US,46573,30
"PALTEL-AS PALTEL Autonomous System",PS,12975,29
"ASN-EBLGLOBAL - zColo",US,13354,29
"IDNIC-PAAS-AS-ID PT. Awan Kilat Semesta",ID,138062,29
"NAYATEL-PK Nayatel (Pvt) Ltd",PK,23674,29
ASN-MGTS-USPD,RU,25513,29
"HCLC-AS-KR purplestones",KR,38661,29
ESAB-AS,SE,39351,29
ORCL-AM-OPC1,NL,43898,29
"COMUNITEL SPAIN",ES,12357,28
"CHINATELECOM-ANHUI-WUHU-MAN Wuhu",CN,137687,28
"M1NET-SG-AP M1 NET LTD",SG,17547,28
"GIGAINFRA Softbank BB Corp.",JP,17676,28
"Cable Onda",PA,18809,28
ZOL-AS,GB,30969,28
"CMCTELECOM-AS-VN CMC Telecom Infrastructure Company",VN,38732,28
"CMCTELECOM-AS-VN CMC Telecom Infrastructure Company",VN,45903,28
"TLSOFT-AS-VN 8 Floor, 96-98 Dao Duy Anh, Phu Nhuan, HCMC",VN,135915,27
"Telefonica del Sur S.A.",CL,14117,27
"OPTAGE OPTAGE Inc.",JP,17511,27
DIGICABLE,HU,20845,27
WESTCALL-SPB-AS,RU,25408,27
"AXS Bolivia S. A.",BO,26210,27
"ARLINK S.A.",AR,28075,27
"SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o.",RS,31042,27
ZAMTEL,ZM,37154,27
Cloud-Temple,TN,37709,27
"COLOMBIA TELECOMUNICACIONES S.A. ESP",CO,3816,27
IPAX-AS,AT,44133,27
"DVOIS-IN D-Vois Broadband Pvt Ltd",IN,45769,27
"ASN-CBN PT Cyberindo Aditama",ID,4787,27
"GTSCE GTS Central Europe / Antel Germany",CZ,5588,27
"VHOST-AS-VN Viet Solutions Services Trading Company Limited",VN,56150,27
"INTERSVYAZ-AS 38-B, Komsomolsky prospekt",RU,8369,27
"RCS-RDS 73-75 Dr. Staicovici",RO,8708,27
"Mundivox LTDA",BR,17222,26
"TELEFÔNICA BRASIL S.A",BR,26599,26
"PKTELECOM-AS-PK Pakistan Telecom Company Limited",PK,45595,26
"VIL-AS-AP Vodafone Idea Ltd",IN,55410,26
"WOW-INTERNET - WideOpenWest Finance LLC",US,12083,25
INIT7,CH,13030,25
"STN-CN shanghai science and technology network communication limited company",CN,17775,25
XANDMAIL-ASN,DE,200185,25
MTSBY-AS,BY,25106,25
"EQUINIX BRASIL RJ",BR,26592,25
BREDBAND2,SE,29518,25
ALGTEL-AS,DZ,36947,25
"TIKONAIN-AS Tikona Infinet Ltd.",IN,45528,25
"SCTV-AS-VN SaiGon Tourist cable Televition Company",VN,45543,25
"INTERNODE-AS Internode Pty Ltd",AU,4739,25
"ROGERS-CABLE - Rogers Cable Communications Inc.",CA,812,25
COLT,GB,8220,25
"SLTINT-AS-AP Sri Lanka Telecom Internet",LK,9329,25
"Telefonica Data S.A.",BR,11419,24
DU-AS1,AE,15802,24
"ROADRUNNER-WEST - Time Warner Cable Internet LLC",US,20001,24
"PETERSTAR-AS Saint-Petersburg",RU,20632,24
"CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.",CN,24400,24
"LEASEWEB-USA-WDC-01 - Leaseweb USA, Inc.",US,30633,24
"MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data",BD,38026,24
"CMNET-BEIJING-AP China Mobile Communicaitons Corporation",CN,56048,24
"CLOUD-ARK Beijing Cloud-Ark Technology Co.,Ltd.",CN,59050,24
TDDE-ASN1,DE,6805,24
"CYBERNET-AP Cyber Internet Services (Pvt) Ltd.",PK,9541,24
"CUII CHINA UNICOM Industrial Internet Backbone",CN,9929,24
"Cable & Wireless Panama",PA,11556,23
"LVSS-AS-VN Long Van System Solution JSC",VN,131386,23
BRM-DATACENTER,UZ,202660,23
ZVEZDATEL-AS,RU,21367,23
EthioNet-AS,ET,24757,23
"OPTICAL TECHNOLOGIES S.A.C.",PE,27843,23
RIKSNET,SE,34610,23
AQUARAY,FR,41653,23
"HECPERN-AS-PK PERN AS Content Servie Provider, Islamabad, Pakistan",PK,45773,23
"RELIANCEJIO-IN Reliance Jio Infocomm Limited",IN,55836,23
"SIOL-NET Formerly SiOL Internet d.o.o.",SI,5603,23
"CMNET-AS-LIAONING China Mobile communications corporation",CN,56044,23
"CABLE-NET-1 - Cablevision Systems Corp.",US,6128,23
"ZGCIE-CNNIC Beijing Zhongguancun Information Technology Co. Ltd",CN,9801,23
"HKBN-AS-AP HK Broadband Network Ltd.",HK,10103,22
"Telefonica Empresas",CL,15311,22
"INFOKOM-AS PT.Infokom Elektrindo",ID,17670,22
"GOOGLE-2 - Google LLC",US,19527,22
"ORBITA-PLUS-AS Almaty, Republic of Kazakhstan",KZ,21299,22
SONICDUO-AS,RU,25159,22
"Telecentro S.A.",AR,27747,22
"JINR-AS JINR/HEPNET",RU,2875,22
LIQUID-AS,GB,30844,22
"HCCT-AS-AP Community Assets Ltd",CN,4842,22
PROXIMUS-ISP-AS,BE,5432,22
"ASVTECH-AS-VN Ligh technology viet joint stock company",VN,63765,22
"Compañía Dominicana de Teléfonos, C. por A. - CODETEL",DO,6400,22
"ONO-AS Cableuropa - ONO",ES,6739,22
"America Movil Peru S.A.C.",PE,12252,21
ASN-CLOUDITALIA,IT,15589,21
"HTIL-TTML-IN-AP Tata Teleservices Maharashtra Ltd",IN,17762,21
ARUBA,PL,205727,21
ASN-NUMERICABLE,FR,21502,21
"VODANET International IP-Backbone of Vodafone",DE,3209,21
"CITYNET-AS Maxnet LLC",UA,34700,21
ORANGE-,TN,37492,21
"RAMNODE - RamNode LLC",US,3842,21
NBISERV-AS,DE,43847,21
"SEATELECOM-KH SOUTH EAST ASIA TELECOM (Cambodia) Co., LTD",KH,55769,21
LITESERVER,NL,60404,21
UKRTELNET,UA,6849,21
"NSP-INTL Transit AS for PrimeTel (AS16229), SpiderNet (AS5425) and NetWay (AS30916) traffic",CY,8544,21
"EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.",CO,10299,20
"KHETAN-IN Khetan Cable Network Pvt. Limited",IN,132445,20
"AOFEI-HK AOFEI DATA INTERNATIONAL COMPANY LIMITED",HK,135391,20
"NAPINFO-AS-AP PT. NAP Info Lintas Nusa",ID,17727,20
"EXCELL-AS Excellmedia",IN,17754,20
"Cable Onda",PA,21599,20
"VTR BANDA ANCHA S.A.",CL,22047,20
"FASTNET-AS-ID Linknet-Fastnet ASN",ID,23700,20
"TV AZTECA SUCURSAL COLOMBIA",CO,262186,20
"GTT-BACKBONE GTT",DE,3257,20
Neotel-AS,ZA,36937,20
"VIDEOTRON - Videotron Telecom Ltee",CA,5769,20
ZOREOLE,FR,60132,20
"CLOUVIDER London, United Kingdom",GB,62240,20
TTNET,TR,9121,20
